"Minute.times","Minute.counts","Minute.Temps"
13410,15,102.005327607557
13470,21,102.598442318497
13530,7,90.5586309886723
13590,15,101.689930756037
13650,39,111.246100108058
13710,2,95.9194722709779
13770,4,101.485697792163
13830,5,97.9057433746151
13890,14,94.700815592075
13950,0,NA
14010,4,99.8817701118967
14070,21,108.692592787384
14130,2,93.8893930526398
14190,5,101.044289906663
14250,2,94.8396702608083
14310,9,105.47782229846
14370,10,100.347350602307
14430,15,102.997738249615
14490,8,100.224622633178
14550,9,98.5225135475692
14610,10,98.242837643618
14670,3,99.5638298225948
14730,4,102.742697579255
14790,24,103.438641792825
14850,8,96.4593590806467
14910,0,NA
14970,9,103.061706478953
